Team,Predicted Position
Manchester Utd,1.57
Chelsea,3.3
Arsenal,3.32
Liverpool,3.3
Aston Villa,9.58
Everton,9.28
Sheffield Utd,15.01
Crystal Palace,14.18
Nottingham Forest,11.08
West Ham,10.87
Burnley,15.28
Tottenham,6.25
Manchester City,4.05
Brentford,9.32
Brighton,11.68
Fulham,14.2
Bournemouth,15.65
Wolves,13.91
